descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
OPORTUNIDADE!!! Apto Jardim Oceania Vista p Mar;Rua Fernando Luiz Henriques dos Santos;[];[2];[2];[1];330000;365;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-61m2-venda-RS330000-id-2573081423/
Vende-se apartamento no Bairro dos Estados;-;[];[4];[4];[];455000;850;https://www.vivareal.com.br/imovel/apartamento-4-quartos-estados-bairros-joao-pessoa-93m2-venda-RS455000-id-2573228417/
VENDA aPARTAMENTO;Avenida Governador Argemiro de Figueiredo, 902;[];[4];[6];[3];1590000;1800;https://www.vivareal.com.br/imovel/apartamento-4-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-210m2-venda-RS1590000-id-2560444784/
Apartamento para venda possui 59 metros quadrados com 2 quartos em Estados - João Pessoa - Paraíba;Avenida São Paulo, 828;[];[2];[2];[2];332348;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-estados-bairros-joao-pessoa-com-garagem-59m2-venda-RS332348-id-2471097694/
Apartamento 12 andar mobiliado 58 metros quadrados com 2 quartos em Tambaú - João Pessoa - Paraíba;Rua Monteiro Lobato, 736;[];[2];[2];[1];450000;480;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tambau-bairros-joao-pessoa-com-garagem-58m2-venda-RS450000-id-2571964773/
Apartamento para venda possui 65 metros quadrados com 2 quartos em Estados - João Pessoa - Paraíba;Rua Cônego Luiz Gonzaga de Oliveira, 34;['65'];[2];[2];[1];440000;350;https://www.vivareal.com.br/imovel/apartamento-2-quartos-estados-bairros-joao-pessoa-com-garagem-65m2-venda-RS440000-id-2469759542/
Excelente localização, 3 quartos, 1,7 km praias, piscina, área de lazer, 70m2;Rua Deputado Geraldo Mariz, 525;[];[3];[2];[1];275000;660;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambauzinho-bairros-joao-pessoa-com-garagem-70m2-venda-RS275000-id-2569217131/
Apartamento para venda possui 70 metros quadrados com 2 quartos em Tambaú - João Pessoa - Paraíba;Avenida Infante Dom Henrique, 513;[];[2];[2];[1];720000;470;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tambau-bairros-joao-pessoa-com-garagem-70m2-venda-RS720000-id-2548439226/
Mobiliado lindo com varanda frente mar Tambaú ponto nobre;Avenida Almirante Tamandaré, 296;['29'];[1];[1];[];340000;570;https://www.vivareal.com.br/imovel/apartamento-1-quartos-tambau-bairros-joao-pessoa-29m2-venda-RS340000-id-2565023634/
Apartamento para venda tem 70 metros quadrados com 2 quartos;Rua Luiz José Batista;[];[2];[2];[1];200000;100;https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-cidade-universitaria-bairros-joao-pessoa-com-garagem-70m2-venda-RS200000-id-2562524687/
Apartamento reformado c/130 m2 com 3 quartos em Manaíra - João Pessoa - Paraíba;Rua Silvino Chaves;['130'];[3];[3];[2];540000;1200;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-130m2-venda-RS540000-id-2575311849/
Apartamento Home Service c 68 metros quadrados c 2 quartos no Bairro dos Estados - J Pessoa Paraíba;Rua Goiás, 401;[];[2];[2];[1];295000;340;https://www.vivareal.com.br/imovel/apartamento-2-quartos-estados-bairros-joao-pessoa-com-garagem-68m2-venda-RS295000-id-2528913575/
Apartamento para venda possui 51 metros quadrados com 1 quarto;Avenida Cabo Branco, 3082;[];[1];[1];[1];430000;500;https://www.vivareal.com.br/imovel/apartamento-1-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-51m2-venda-RS430000-id-2561730349/
Apartamento para venda tem 62 metros quadrados com 2 quartos em Estados - João Pessoa - Paraíba;Avenida Mato Grosso, 741;[];[2];[2];[1];385000;360;https://www.vivareal.com.br/imovel/apartamento-2-quartos-estados-bairros-joao-pessoa-com-garagem-62m2-venda-RS385000-id-2521213402/
Apartamento de 89 metros quadrados no bairro Aeroclube com 2 quartos;Rua Débora da Silva Braga;[];[2];[3];[2];380000;640;https://www.vivareal.com.br/imovel/apartamento-2-quartos-aeroclube-bairros-joao-pessoa-com-garagem-89m2-venda-RS380000-id-2427786414/
Apartamento para venda tem 134 metros quadrados com 3 quartos em Cabo Branco - João Pessoa - Paraíba;Rua Áurea, 302;['134'];[3];[3];[1];750000;972;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-134m2-venda-RS750000-id-2516924680/
Apartamento para venda tem 66 metros quadrados com 3 quartos em Bancários - João Pessoa - Paraíba;Rua Sandra Maria Macena de Brito, S/n;[];[3];[2];[2];345000;-;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bancarios-bairros-joao-pessoa-com-garagem-66m2-venda-RS345000-id-2536947474/
APARTAMENTO PARA VENDA (3 QUARTOS, GARAGEM) NO RESIDENCIAL SOLAR - ANATÓLIA - JOÃO PESSOA -PB.;Rua da Imbiribeira, 104;['95'];[3];[2];[1];280000;200;https://www.vivareal.com.br/imovel/apartamento-3-quartos-anatolia-bairros-joao-pessoa-com-garagem-72m2-venda-RS280000-id-2563888093/
Apartamento para venda tem 40 metros quadrados com 2 quartos em Cabo Branco - João Pessoa - Paraíba;Rua Paulino Pinto, 1447;['84'];[2];[1];[1];350000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-40m2-venda-RS350000-id-2542292373/
Apartamento para venda tem 65 metros quadrados com 2 quartos em Bessa - João Pessoa - Paraíba;Rua José Bartolomeu Cabral, 434;[];[2];[2];[1];210000;130000;https://www.vivareal.com.br/imovel/apartamento-2-quartos-bessa-bairros-joao-pessoa-com-garagem-65m2-venda-RS210000-id-2530886683/
Apartamento para venda possui 224 metros quadrados com 4 quartos em Brisamar - João Pessoa - Paraíba;Rua Custódio Domingos dos Santos, 315;[];[4];[5];[4];1490000;850;https://www.vivareal.com.br/imovel/apartamento-4-quartos-brisamar-bairros-joao-pessoa-com-garagem-224m2-venda-RS1490000-id-2539919279/
Apartamento para venda com 235 metros quadrados com 4 quartos em Aeroclube - João Pessoa - Paraíba;Rua Bacharel José de Oliveira Curchatuz, 527;[];[4];[6];[3];950000;-;https://www.vivareal.com.br/imovel/apartamento-4-quartos-aeroclube-bairros-joao-pessoa-com-garagem-235m2-venda-RS950000-id-2490215780/
Apartamento para venda tem 168 metros quadrados com 3 quartos;Rua Monsenhor José Maria Escrivá;[];[3];[2];[1];295000;50;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jose-americo-de-almeida-bairros-joao-pessoa-com-garagem-168m2-venda-RS295000-id-2476984122/
Apartamento Térreo com área externa grande em L 2 vagas de garagens;Rua Comerciante Antonio Alves de Lima, 5;['110'];[3];[2];[2];250000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-dos-colibris-bairros-joao-pessoa-com-garagem-75m2-venda-RS250000-id-2582351146/
Apartamento para venda com 83 metros2 com 3 quartos em Manaíra - João Pessoa - PB;Rua Silvino Chaves, 3;[];[3];[2];[2];660000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-83m2-venda-RS660000-id-2584318101/
Apartamento no Alliance Plaza, com 3 suítes, varanda gourmet com vista mar em João Pessoa;Rua Poeta Targino Teixeira, 60;['139'];[3];[3];[2];1230000;900;https://www.vivareal.com.br/imovel/apartamento-3-quartos-altiplano-cabo-branco-bairros-joao-pessoa-com-garagem-139m2-venda-RS1230000-id-2577441485/
Apartamento com 3 dormitórios à venda, 93 m² por R$ 395.000,00 - Tambauzinho - João Pessoa/PB;Rua Vandick Pinto Filgueiras, 95;['130'];[3];[2];[2];395000;775;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambauzinho-bairros-joao-pessoa-com-garagem-94m2-venda-RS395000-id-2571343459/
Apartamento para venda tem 116 metros quadrados com 3 quartos em Cabo Branco - João Pessoa - PB;Avenida Cabo Branco, 1;[];[3];[4];[2];1800000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabo-branco-bairros-joao-pessoa-com-garagem-116m2-venda-RS1800000-id-2563453375/
Apartamento para venda possui 60 metros quadrados com 2 quartos em Tambaú - João Pessoa - PB;Avenida Infante Dom Henrique, 100;['60'];[2];[2];[1];450000;-;https://www.vivareal.com.br/imovel/apartamento-2-quartos-tambau-bairros-joao-pessoa-com-garagem-60m2-venda-RS450000-id-2549106002/
Apartamento para Venda em João Pessoa, Manaíra, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas;Rua Margarida Fonseca Arruda, ;['73'];[3];[2];[2];645000;480;https://www.vivareal.com.br/imovel/apartamento-3-quartos-manaira-bairros-joao-pessoa-com-garagem-73m2-venda-RS645000-id-2580696549/
Apartamento para venda possui 88 metros quadrados com 3 quartos em Jardim Oceania - João Pessoa - PB;Rua Josemar Rodrigues de Carvalho, 142;[];[3];[4];[2];450000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-oceania-bairros-joao-pessoa-com-garagem-88m2-venda-RS450000-id-2570376579/
Apartamento p/ venda em Tambaú c/ 3 quartos, 93 metros e nascente Sul em João Pessoa - PB;Rua Silvino Lopes, 255;[];[3];[3];[2];680000;0;https://www.vivareal.com.br/imovel/apartamento-3-quartos-tambau-bairros-joao-pessoa-com-garagem-93m2-venda-RS680000-id-2576058634/
Apartamento para venda com 50 m2 quartos em Mangabeira - João Pessoa - PB;Rua Joaquim Elias de Figueiredo, 168;['50'];[2];[1];[1];109000;80;https://www.vivareal.com.br/imovel/apartamento-2-quartos-mangabeira-iv-bairros-joao-pessoa-com-garagem-50m2-venda-RS109000-id-2583570714/
Apartamento para venda possui 81m com 3 quartos em Bessa - João Pessoa - Paraíba;-;['81'];[3];[3];[2];550000;318;https://www.vivareal.com.br/imovel/apartamento-3-quartos-bessa-bairros-joao-pessoa-com-garagem-81m2-venda-RS550000-id-2582858400/
